time,open,high,low,close,buy_volume,sell_volume,avg_speed,tick_count,volume_delta,rejection_speed,micro_trend,source_date,symbol,vol_mean,vol_std,is_massive_vol,absorption_ratio,absorption_z,whale_signal,ret_3h_pips,hit_3h,miss_3h,ret_6h_pips,hit_6h,miss_6h,ret_12h_pips,hit_12h,miss_12h,hit,miss
2026-04-02 05:00:00,1.15525,1.156035,1.154395,1.15468,0.0,0.0,5.495334871006308e-08,6213,0.0,0.0,-0.3262195121952111,2026-04-02,EURUSD,,,False,3788414.634146656,,0,-21.54999999999907,0,0,-21.499999999998742,0,0,4.450000000000287,0,0,0,0
2026-04-02 06:00:00,1.154685,1.154895,1.15377,1.15398,0.0,0.0,4.4233491417717134e-08,3234,0.0,0.0,-0.3133333333333017,2026-04-02,EURUSD,,,False,2874666.6666665575,,0,-5.399999999999849,0,0,-13.600000000000279,0,0,5.20000000000076,0,0,0,0
2026-04-02 07:00:00,1.153985,1.15419,1.153225,1.153695,0.0,0.0,4.5364180838647096e-08,2940,0.0,0.0,-0.012953367875616,2026-04-02,EURUSD,,,False,3046632.124352001,,0,-4.3999999999999595,0,0,-24.75000000000005,0,0,2.2500000000014175,0,0,0,0
2026-04-02 08:00:00,1.1537,1.1539,1.152485,1.152525,0.0,0.0,5.026523027177737e-08,3570,0.0,0.0,-0.471731448763143,2026-04-02,EURUSD,,,False,2522968.1978799584,,0,0.05000000000032756,0,0,-7.600000000000939,0,0,12.300000000000644,0,0,0,0
2026-04-02 09:00:00,1.152535,1.153545,1.15152,1.15344,0.0,0.0,5.8964660644343306e-08,5568,0.0,0.0,0.4481481481481908,2026-04-02,EURUSD,,,False,2749629.6296297065,,0,-8.20000000000043,0,0,-9.850000000000136,0,0,1.7500000000003624,0,0,0,0
2026-04-02 10:00:00,1.153435,1.153785,1.151875,1.153255,0.0,0.0,6.566487482714278e-08,5723,0.0,0.0,0.2225130890052891,2026-04-02,EURUSD,,,False,2996335.0785339084,,0,-20.35000000000009,0,0,-1.3499999999999623,0,0,1.9999999999997797,0,0,0,0
2026-04-02 11:00:00,1.153245,1.153575,1.152435,1.15253,0.0,0.0,5.35912639139614e-08,4150,0.0,0.0,-0.4166666666666991,2026-04-02,EURUSD,,,False,3640350.8771932414,,0,-7.650000000001267,0,0,25.94999999999903,0,0,13.250000000000206,0,0,0,0
2026-04-02 12:00:00,1.152535,1.15319,1.152165,1.15262,0.0,0.0,5.1086824891595976e-08,3146,0.0,0.0,-0.0560975609756615,2026-04-02,EURUSD,,,False,3069268.292683431,,0,-1.6499999999997073,0,0,18.800000000001038,0,0,14.050000000001006,0,0,0,0
2026-04-02 13:00:00,1.152625,1.152685,1.15111,1.15122,0.0,0.0,5.193707242828618e-08,3723,0.0,0.0,-0.4301587301588313,2026-04-02,EURUSD,,,False,2363809.5238097007,,0,19.000000000000128,0,0,27.000000000001467,0,0,27.850000000002595,0,0,0,0
2026-04-02 14:00:00,1.1512250000000002,1.15194,1.150915,1.151765,0.0,0.0,5.4222966344152336e-08,3528,0.0,0.0,0.3292682926830087,2026-04-02,EURUSD,,,False,3441951.219512015,,0,33.60000000000029,0,0,19.900000000001583,0,0,23.800000000000487,0,0,0,0
2026-04-02 15:00:00,1.151775,1.15313,1.151695,1.152455,0.0,0.0,6.271509330647208e-08,5669,0.0,0.0,0.0296167247386409,2026-04-02,EURUSD,,,False,3950522.6480834167,,0,20.450000000000745,0,0,11.600000000000499,0,0,13.499999999999623,0,0,0,0
2026-04-02 16:00:00,1.152465,1.15325,1.152035,1.15312,0.0,0.0,6.380751665878754e-08,8633,0.0,0.0,0.3930041152260904,2026-04-02,EURUSD,,,False,7105349.794237583,,0,8.00000000000134,0,0,3.349999999999742,0,0,3.8000000000004697,0,0,0,0
2026-04-02 17:00:00,1.153135,1.156385,1.15267,1.155125,0.0,0.0,1.0316363339054417e-07,14558,0.0,0.0,0.1608344549125283,2026-04-02,EURUSD,,,False,3918707.940780711,,0,-13.699999999998713,0,0,-12.699999999998823,0,0,-15.099999999999003,0,0,0,0
2026-04-02 18:00:00,1.155135,1.155855,1.154165,1.1545,0.0,0.0,6.95465108595163e-08,10452,0.0,0.0,-0.3017751479288743,2026-04-02,EURUSD,,,False,6184615.384615497,,0,-8.850000000000247,0,0,-4.750000000000032,0,0,-8.850000000000247,0,0,0,0
2026-04-02 19:00:00,1.15451,1.1548,1.153905,1.15392,0.0,0.0,6.074732398944088e-08,6087,0.0,0.0,-0.483240223463455,2026-04-02,EURUSD,,,False,6801117.318435069,,0,-4.650000000001597,0,0,0.8500000000011276,0,0,-2.9999999999996696,0,0,0,0
2026-04-02 20:00:00,1.153925,1.154925,1.153635,1.153755,0.0,0.0,4.865040896482159e-08,3838,0.0,0.0,-0.4069767441861265,2026-04-02,EURUSD,,,False,2975193.7984495815,,0,0.9999999999998899,0,0,3.8999999999989043,0,0,-1.3499999999999623,0,0,0,0
2026-04-02 21:00:00,1.15377,1.154005,1.153315,1.153615,0.0,0.0,4.6637511721378796e-08,3169,0.0,0.0,-0.0652173913041449,2026-04-02,EURUSD,,,False,4592753.623189355,,0,4.100000000000215,0,0,1.8999999999991246,0,0,-2.2999999999995246,0,0,0,0
2026-04-02 22:00:00,1.153645,1.15438,1.153335,1.153455,0.0,0.0,4.4648249726079535e-08,3467,0.0,0.0,-0.3851674641147136,2026-04-02,EURUSD,,,False,3317703.349282415,,0,5.500000000002725,0,0,0.4500000000007276,0,0,-0.6999999999979245,0,0,0,0
2026-04-02 23:00:00,1.15346,1.153985,1.153215,1.153855,0.0,0.0,4.0816799059073785e-08,1531,0.0,0.0,0.3311688311689135,2026-04-02,EURUSD,,,False,1988311.68831185,,0,2.8999999999990145,0,0,-2.4000000000001798,0,0,-0.5000000000010552,0,0,0,0
2026-04-03 00:00:00,1.15385,1.15418,1.15373,1.154025,0.0,0.0,9.780084050126813e-08,701,0.0,0.0,0.1555555555560599,2026-04-02,EURUSD,,,False,1557777.777777565,,0,-2.20000000000109,0,0,-4.100000000000215,0,0,-2.20000000000109,0,0,0,0
2026-04-03 01:00:00,1.153945,1.154115,1.153755,1.1540050000000002,0.0,0.0,4.132638105250476e-08,620,0.0,0.0,0.1944444444445301,2026-04-02,EURUSD,,,False,1722222.2222226243,,0,-5.050000000001997,0,0,-3.8500000000007972,0,0,-0.4000000000026205,0,0,0,0
2026-04-03 02:00:00,1.154,1.15429,1.1539549999999998,1.154145,0.0,0.0,3.90845928674077e-08,428,0.0,0.0,0.0671641791045468,2026-04-02,EURUSD,,,False,1277611.940297759,,0,-5.299999999999194,0,0,-5.249999999998867,0,0,-1.80000000000069,0,0,0,0
2026-04-03 03:00:00,1.15415,1.1545,1.153805,1.153805,0.0,0.0,4.2439533274268555e-08,1493,0.0,0.0,-0.4999999999998402,2026-04-02,EURUSD,,,False,2148201.438848574,,0,-1.8999999999991246,0,0,-4.199999999998649,0,0,4.8000000000003595,0,0,0,0
