time,open,high,low,close,buy_volume,sell_volume,avg_speed,tick_count,volume_delta,rejection_speed,micro_trend,source_date,symbol,vol_mean,vol_std,is_massive_vol,absorption_ratio,absorption_z,whale_signal,ret_3h_pips,hit_3h,miss_3h,ret_6h_pips,hit_6h,miss_6h,ret_12h_pips,hit_12h,miss_12h,hit,miss
2026-04-02 05:00:00,4696.01,4704.31,4655.3150000000005,4686.77,0.0,0.0,0.0011406863469855,27944,0.0,0.0,0.14200428615166,2026-04-02,GOLD,,,False,570.3439126441486,,0,-925550.0000000029,0,0,-658500.0000000036,0,0,-51800.00000000291,0,0,0,0
2026-04-02 06:00:00,4686.75,4699.425,4675.73,4676.205,0.0,0.0,0.0006270439555679,20259,0.0,0.0,-0.479953576703912,2026-04-02,GOLD,,,False,854.9905043257849,,0,-768500.0000000036,0,0,-543199.9999999971,0,0,-150050.0000000011,0,0,0,0
2026-04-02 07:00:00,4676.225,4681.48,4657.33,4672.709999999999,0.0,0.0,0.0005901724992048,16572,0.0,0.0,0.1368530020703698,2026-04-02,GOLD,,,False,686.2111801242339,,0,-298099.9999999949,0,0,-520749.99999998906,0,0,-135799.99999999016,0,0,0,0
2026-04-02 08:00:00,4672.719999999999,4680.7,4586.030000000001,4594.215,0.0,0.0,0.0010544159375608,24502,0.0,0.0,-0.4135417766980034,2026-04-02,GOLD,,,False,258.81483046371835,,0,267049.9999999993,0,0,59749.99999999454,0,0,544949.9999999898,0,0,0,0
2026-04-02 09:00:00,4594.235000000001,4608.719999999999,4553.865,4599.355,0.0,0.0,0.0011234495914633,29552,0.0,0.0,0.3292771853067203,2026-04-02,GOLD,,,False,538.7293774496443,,0,225300.00000000655,0,0,26300.00000000109,0,0,692900.0000000087,0,0,0,0
2026-04-02 10:00:00,4598.82,4651.1900000000005,4597.32,4642.9,0.0,0.0,0.0006758937758371,23118,0.0,0.0,0.3461110079821654,2026-04-02,GOLD,,,False,429.1442361239958,,0,-222649.99999999418,0,0,33350.00000000946,0,0,292950.0000000007,0,0,0,0
2026-04-02 11:00:00,4642.81,4649.005,4617.33,4620.92,0.0,0.0,0.0006452282083578,20545,0.0,0.0,-0.3866614048934308,2026-04-02,GOLD,,,False,648.618784530383,,0,-207300.00000000471,0,0,606700.0000000007,0,0,552899.9999999906,0,0,0,0
2026-04-02 12:00:00,4620.9,4631.88,4613.31,4621.885,0.0,0.0,0.0006024923608072,17814,0.0,0.0,-0.0382337102853582,2026-04-02,GOLD,,,False,959.2891760904836,,0,-199000.00000000547,0,0,393149.999999996,0,0,239399.99999999598,0,0,0,0
2026-04-02 13:00:00,4621.975,4635.16,4604.255,4620.635,0.0,0.0,0.0006295715031407,17676,0.0,0.0,0.0300113250283057,2026-04-02,GOLD,,,False,571.9462870085794,,0,256000.00000000364,0,0,384949.9999999989,0,0,251899.99999999598,0,0,0,0
2026-04-02 14:00:00,4620.63,4630.7,4592.82,4600.19,0.0,0.0,0.0006744177020916,20436,0.0,0.0,-0.3054382259767842,2026-04-02,GOLD,,,False,539.4931362196394,,0,814000.0000000055,0,0,485199.9999999953,0,0,456350.0000000022,0,0,0,0
