,open,high,low,close,buy_volume,sell_volume,avg_speed,tick_count,volume_delta,rejection_speed,micro_trend,source_date,symbol,vol_mean,vol_std,is_massive_vol,speed_mean,speed_std,speed_z,price_delta,directional_speed,absorption_ratio,absorption_z,whale_signal,ret_3h_pips,hit_3h,miss_3h,ret_6h_pips,hit_6h,miss_6h,ret_12h_pips,hit_12h,miss_12h,hit,miss
2026-04-06 16:00:00,4675.969999999999,4681.855,4660.219999999999,4680.465,0.0,0.0,0.0008485264157231,23566,0.0,0.0,0.4357522532933023,2026-04-04,GOLD,14504.041666666666,2211.067231573084,True,0.0005463301132932042,7.43732194699832e-05,4.063240835659418,4.4950000000008,4.063240835659418,1089.2535243817779,1.5275234738732277,1,0.0,0,1,241.49999999999636,0,1,-1218.000000000029,1,0,1,0
2026-04-10 15:00:00,4768.25,4782.39,4759.875,4771.87,0.0,0.0,0.0006543137233783,18096,0.0,0.0,0.0327559404841292,2026-04-10,GOLD,11918.5,3013.166065640944,True,0.00043761456270952087,7.728272060762443e-05,2.803979453168997,3.619999999999891,2.803979453168997,803.7308461025866,0.8982715528035373,1,335.5000000000473,0,1,298.0000000000473,0,1,-795.4999999999927,1,0,1,0
2026-04-10 16:00:00,4771.889999999999,4780.215,4765.47,4775.225,0.0,0.0,0.000643510509241,22669,0.0,0.0,0.161580196676821,2026-04-09,GOLD,13293.916666666666,3662.3585880598807,True,0.00047372532912350003,9.855070145222857e-05,1.7228206153337382,3.335000000000946,1.7228206153337382,1537.4025093252064,3.779556982790628,1,-37.5,1,0,-1282.5000000000728,1,0,-1472.0000000000255,1,0,1,0
2026-04-13 16:00:00,4723.51,4744.755,4721.514999999999,4730.825000000001,0.0,0.0,0.0007394772906994,25584,0.0,0.0,-0.0993975903614209,2026-04-11,GOLD,14200.291666666666,3191.5947830289847,True,0.0004758390366279459,7.61566752101272e-05,3.4617878648724925,7.315000000000509,1.7308939324362462,1100.8605851979019,3.630108734219085,1,0.0,0,1,-1157.5000000000728,1,0,-1621.0000000000946,1,0,1,0
2026-04-16 09:00:00,4821.445,4830.645,4814.625,4826.14,0.0,0.0,0.0004801052525897,16832,0.0,0.0,0.2187890137328348,2026-04-15,GOLD,10848.208333333334,3670.153082687724,True,0.0003803689041048084,7.245562803979557e-05,1.3765162373599518,4.6950000000006185,1.3765162373599518,1050.686641697849,1.0795530683186008,1,-489.50000000004366,1,0,-1217.5000000000182,1,0,-884.5000000000255,1,0,1,0
2026-04-20 16:00:00,4803.495,4826.48,4799.81,4817.9,0.0,0.0,0.0006302491179273,23189,0.0,0.0,0.1782902137232881,2026-04-17,GOLD,12762.958333333334,3223.2338538258805,True,0.0004414267538810792,7.837647154293706e-05,2.409171532336437,14.404999999999745,2.409171532336437,869.4788151481338,0.5728587605323087,1,0.0,0,1,-1258.4999999999127,1,0,-1802.4999999999636,1,0,1,0
2026-04-22 16:00:00,4744.375,4761.035,4736.45,4753.1,0.0,0.0,0.0005956710966442,24212,0.0,0.0,0.1772422208663846,2026-04-21,GOLD,11774.625,3134.8324109217615,True,0.00039575578564502497,5.636077257320628e-05,3.547064773455822,8.725000000000364,3.547064773455822,984.8281472442532,0.8840690804656689,1,0.0,0,1,-1700.5000000001019,1,0,-2530.000000000109,1,0,1,0
2026-04-27 16:00:00,4699.24,4703.514999999999,4689.280000000001,4696.29,0.0,0.0,0.0004827572933085,21449,0.0,0.0,-0.0075518089216777,2026-04-25,GOLD,10899.0,3461.906360977198,True,0.00033570935392040834,5.191509648195061e-05,2.8324697314049296,-2.949999999999818,-2.8324697314049296,1506.7790656833063,2.069576291646817,1,0.0,0,1,-1807.9999999999927,0,1,-2616.4999999999964,0,1,0,1
2026-04-28 16:00:00,4593.835,4594.745,4570.935,4580.555,0.0,0.0,0.0007225697891616,27149,0.0,0.0,-0.0959680806383795,2026-04-26,GOLD,18536.541666666668,3947.6454289830267,True,0.0005226639016159459,0.00012875779213831245,1.5525731237369615,-13.279999999999745,-1.5525731237369615,1140.2351952961185,1.8487839023820558,1,0.0,0,1,-592.5000000000182,0,1,598.4999999999673,1,0,1,0
2026-05-05 16:00:00,4564.424999999999,4585.125,4564.415,4579.424999999999,0.0,0.0,0.0004752712298169,18416,0.0,0.0,0.2247706422017782,2026-05-01,GOLD,11513.0,3135.220136505345,True,0.00040152400639707086,4.3007026690492485e-05,1.7147714942156727,15.0,1.7147714942156727,889.2322549492983,1.0429307024156629,1,0.0,0,1,310.0000000000364,0,1,-1081.999999999971,1,0,1,0
