time,open,high,low,close,buy_volume,sell_volume,avg_speed,tick_count,volume_delta,rejection_speed,micro_trend,source_date,symbol
2026-04-02 05:00:00,1.1552499999999999,1.1560350000000001,1.154395,1.15468,0.0,0.0,5.4953348710063075e-08,6213,0.0,0.0,-0.3262195121952111,2026-04-02,EURUSD
2026-04-02 06:00:00,1.154685,1.154895,1.15377,1.15398,0.0,0.0,4.4233491417717134e-08,3234,0.0,0.0,-0.31333333333330177,2026-04-02,EURUSD
2026-04-02 07:00:00,1.153985,1.15419,1.153225,1.153695,0.0,0.0,4.5364180838647096e-08,2940,0.0,0.0,-0.012953367875616075,2026-04-02,EURUSD
2026-04-02 08:00:00,1.1537,1.1539,1.152485,1.152525,0.0,0.0,5.0265230271777365e-08,3570,0.0,0.0,-0.47173144876314305,2026-04-02,EURUSD
2026-04-02 09:00:00,1.1525349999999999,1.153545,1.15152,1.15344,0.0,0.0,5.8964660644343306e-08,5568,0.0,0.0,0.4481481481481908,2026-04-02,EURUSD
2026-04-02 10:00:00,1.153435,1.153785,1.151875,1.1532550000000001,0.0,0.0,6.566487482714277e-08,5723,0.0,0.0,0.22251308900528916,2026-04-02,EURUSD
2026-04-02 11:00:00,1.153245,1.153575,1.152435,1.15253,0.0,0.0,5.35912639139614e-08,4150,0.0,0.0,-0.4166666666666991,2026-04-02,EURUSD
2026-04-02 12:00:00,1.1525349999999999,1.15319,1.152165,1.15262,0.0,0.0,5.1086824891595976e-08,3146,0.0,0.0,-0.056097560975661535,2026-04-02,EURUSD
2026-04-02 13:00:00,1.152625,1.152685,1.15111,1.15122,0.0,0.0,5.193707242828618e-08,3723,0.0,0.0,-0.4301587301588313,2026-04-02,EURUSD
2026-04-02 14:00:00,1.1512250000000002,1.15194,1.150915,1.1517650000000001,0.0,0.0,5.422296634415233e-08,3528,0.0,0.0,0.3292682926830087,2026-04-02,EURUSD
2026-04-02 15:00:00,1.151775,1.15313,1.1516950000000001,1.152455,0.0,0.0,6.271509330647208e-08,5669,0.0,0.0,0.029616724738640913,2026-04-02,EURUSD
2026-04-02 16:00:00,1.1524649999999999,1.15325,1.1520350000000001,1.15312,0.0,0.0,6.380751665878753e-08,8633,0.0,0.0,0.3930041152260904,2026-04-02,EURUSD
2026-04-02 17:00:00,1.153135,1.156385,1.15267,1.155125,0.0,0.0,1.0316363339054417e-07,14558,0.0,0.0,0.1608344549125283,2026-04-02,EURUSD
2026-04-02 18:00:00,1.155135,1.1558549999999999,1.1541649999999999,1.1545,0.0,0.0,6.95465108595163e-08,10452,0.0,0.0,-0.30177514792887433,2026-04-02,EURUSD
2026-04-02 19:00:00,1.15451,1.1548,1.153905,1.15392,0.0,0.0,6.074732398944087e-08,6087,0.0,0.0,-0.483240223463455,2026-04-02,EURUSD
2026-04-02 20:00:00,1.153925,1.154925,1.153635,1.1537549999999999,0.0,0.0,4.865040896482158e-08,3838,0.0,0.0,-0.40697674418612656,2026-04-02,EURUSD
2026-04-02 21:00:00,1.15377,1.154005,1.153315,1.153615,0.0,0.0,4.663751172137879e-08,3169,0.0,0.0,-0.06521739130414494,2026-04-02,EURUSD
2026-04-02 22:00:00,1.153645,1.15438,1.153335,1.1534550000000001,0.0,0.0,4.4648249726079535e-08,3467,0.0,0.0,-0.3851674641147136,2026-04-02,EURUSD
2026-04-02 23:00:00,1.15346,1.153985,1.1532149999999999,1.153855,0.0,0.0,4.0816799059073785e-08,1531,0.0,0.0,0.33116883116891355,2026-04-02,EURUSD
2026-04-03 00:00:00,1.15385,1.15418,1.15373,1.154025,0.0,0.0,9.780084050126811e-08,701,0.0,0.0,0.15555555555605996,2026-04-02,EURUSD
2026-04-03 01:00:00,1.153945,1.154115,1.153755,1.1540050000000002,0.0,0.0,4.132638105250476e-08,620,0.0,0.0,0.1944444444445301,2026-04-02,EURUSD
2026-04-03 02:00:00,1.154,1.15429,1.1539549999999998,1.154145,0.0,0.0,3.90845928674077e-08,428,0.0,0.0,0.06716417910454686,2026-04-02,EURUSD
2026-04-03 03:00:00,1.15415,1.1545,1.153805,1.153805,0.0,0.0,4.243953327426855e-08,1493,0.0,0.0,-0.49999999999984024,2026-04-02,EURUSD
2026-04-03 04:00:00,1.153815,1.153985,1.153375,1.1535,0.0,0.0,4.337195424358612e-08,1391,0.0,-0.7547425455294409,-0.29508196721322816,2026-04-02,EURUSD
2026-04-03 05:00:00,1.153495,1.15383,1.1532149999999999,1.153615,0.0,0.0,3.698397365575038e-08,1057,0.0,0.0,0.15040650406547654,2026-04-03,EURUSD
2026-04-03 05:00:00,1.153495,1.15383,1.1532149999999999,1.153615,0.0,0.0,3.6950476317444334e-08,1057,0.0,-1.074753798287409,0.15040650406547654,2026-04-02,EURUSD
2026-04-03 06:00:00,1.153625,1.15375,1.15342,1.15362,0.0,0.0,3.097586099395873e-08,512,0.0,-1.3530062183102556,0.10606060606057548,2026-04-02,EURUSD
2026-04-03 06:00:00,1.153625,1.15375,1.15342,1.15362,0.0,0.0,3.097586099395873e-08,512,0.0,0.0,0.10606060606057548,2026-04-03,EURUSD
2026-04-03 07:00:00,1.153625,1.153635,1.153385,1.153385,0.0,0.0,4.114321934833161e-08,1303,0.0,-0.7485786114998679,-0.5,2026-04-02,EURUSD
2026-04-03 07:00:00,1.153625,1.153635,1.153385,1.153385,0.0,0.0,4.114321934833161e-08,1303,0.0,0.0,-0.5,2026-04-03,EURUSD
2026-04-03 08:00:00,1.153385,1.15381,1.152935,1.153805,0.0,0.0,4.16527871291258e-08,1097,0.0,-0.6917515149195023,0.4942857142855497,2026-04-02,EURUSD
2026-04-03 08:00:00,1.153385,1.15381,1.152935,1.153805,0.0,0.0,4.16527871291258e-08,1097,0.0,0.0,0.4942857142855497,2026-04-03,EURUSD
2026-04-03 09:00:00,1.1537950000000001,1.154055,1.153505,1.153965,0.0,0.0,4.82913893793653e-08,766,0.0,-0.28805035767265075,0.3363636363633868,2026-04-02,EURUSD
2026-04-03 09:00:00,1.1537950000000001,1.154055,1.153505,1.153965,0.0,0.0,4.82913893793653e-08,766,0.0,0.0,0.3363636363633868,2026-04-03,EURUSD
2026-04-03 10:00:00,1.15396,1.1546349999999999,1.15395,1.154285,0.0,0.0,5.4009229438044486e-08,1115,0.0,0.06630157773436468,-0.010948905109401507,2026-04-02,EURUSD
2026-04-03 10:00:00,1.15396,1.1546349999999999,1.15395,1.154285,0.0,0.0,5.4009229438044486e-08,1115,0.0,0.0,-0.010948905109401507,2026-04-03,EURUSD
2026-04-03 11:00:00,1.1542750000000002,1.154535,1.154015,1.154305,0.0,0.0,4.662720007439292e-08,777,0.0,-0.3416149502008736,0.0576923076918232,2026-04-02,EURUSD
2026-04-03 11:00:00,1.1542750000000002,1.154535,1.154015,1.154305,0.0,0.0,4.662720007439292e-08,777,0.0,0.0,0.0576923076918232,2026-04-03,EURUSD
2026-04-03 12:00:00,1.1542949999999998,1.154555,1.1540650000000001,1.154305,0.0,0.0,5.364666682874881e-08,775,0.0,0.0,-0.010204081633175573,2026-04-03,EURUSD
2026-04-03 12:00:00,1.1542949999999998,1.154555,1.1540650000000001,1.154305,0.0,0.0,5.364666682874881e-08,775,0.0,0.05583915100450898,-0.010204081633175573,2026-04-02,EURUSD
2026-04-03 13:00:00,1.154355,1.1549049999999998,1.154185,1.1544750000000001,0.0,0.0,4.810429863903363e-08,663,0.0,-0.25330508332148965,-0.09722222222195666,2026-04-02,EURUSD
2026-04-03 13:00:00,1.154355,1.1549049999999998,1.154185,1.1544750000000001,0.0,0.0,4.810429863903363e-08,663,0.0,0.0,-0.09722222222195666,2026-04-03,EURUSD
2026-04-03 14:00:00,1.15449,1.1546750000000001,1.154085,1.154425,0.0,0.0,4.895501093701118e-08,1011,0.0,-0.19173685884061853,0.07627118644041325,2026-04-02,EURUSD
2026-04-03 14:00:00,1.15449,1.1546750000000001,1.154085,1.154425,0.0,0.0,4.895501093701118e-08,1011,0.0,0.0,0.07627118644041325,2026-04-03,EURUSD
2026-04-03 15:00:00,1.1544349999999999,1.154595,1.15181,1.1531,0.0,0.0,1.0936631094124011e-07,4402,0.0,2.63814105548383,-0.036804308797089035,2026-04-02,EURUSD
