time,open,high,low,close,buy_volume,sell_volume,avg_speed,tick_count,volume_delta,rejection_speed,micro_trend
2026-01-02 08:00:00,1.175125,1.17514,1.1741549999999998,1.174385,0.0,0.0,5.1088692559645385e-08,1356,0.0,0.0,-0.2664974619287
2026-01-02 09:00:00,1.174375,1.1747,1.17322,1.17348,0.0,0.0,5.8971096607866666e-08,2375,0.0,0.0,-0.32432432432431624
2026-01-02 10:00:00,1.173475,1.173835,1.17239,1.172865,0.0,0.0,6.777826286908996e-08,3678,0.0,0.0,-0.17128027681658825
2026-01-02 11:00:00,1.172855,1.173735,1.172065,1.172145,0.0,0.0,6.125428782470911e-08,3018,0.0,0.0,-0.45209580838312086
2026-01-02 12:00:00,1.172155,1.172365,1.171325,1.172105,0.0,0.0,5.8397084175093864e-08,2568,0.0,0.0,0.24999999999989325
2026-01-02 13:00:00,1.172095,1.172245,1.171525,1.172185,0.0,0.0,5.971703375678745e-08,2104,0.0,0.0,0.4166666666665896
2026-01-02 14:00:00,1.17218,1.172725,1.172065,1.172355,0.0,0.0,5.643113361657467e-08,1797,0.0,0.0,-0.06060606060577515
2026-01-02 15:00:00,1.172365,1.1729,1.1718250000000001,1.172145,0.0,0.0,5.890825688805998e-08,3322,0.0,0.0,-0.2023255813955501
2026-01-02 16:00:00,1.1721650000000001,1.173065,1.17158,1.172865,0.0,0.0,5.81319902905311e-08,3382,0.0,0.0,0.36531986531995114
2026-01-02 17:00:00,1.172855,1.1752150000000001,1.172835,1.175065,0.0,0.0,6.704398022822701e-08,4961,0.0,0.0,0.436974789915928
2026-01-02 18:00:00,1.175075,1.17545,1.173405,1.1737250000000001,0.0,0.0,6.038929680182888e-08,3827,0.0,0.0,-0.3435207823961001
2026-01-02 19:00:00,1.173735,1.173765,1.17285,1.173065,0.0,0.0,5.247151432739923e-08,2671,0.0,0.0,-0.26502732240428806
2026-01-02 20:00:00,1.1730749999999999,1.1731150000000001,1.171525,1.171905,0.0,0.0,5.152562089948754e-08,2183,0.0,0.0,-0.261006289308177
2026-01-02 21:00:00,1.171915,1.1724350000000001,1.17143,1.172315,0.0,0.0,4.571266021625076e-08,1964,0.0,0.0,0.3805970149252709
2026-01-02 22:00:00,1.1723249999999998,1.172365,1.171535,1.1717650000000002,0.0,0.0,5.353729882682564e-08,1800,0.0,0.0,-0.22289156626488618
2026-01-02 23:00:00,1.171755,1.17233,1.171725,1.1719849999999998,0.0,0.0,5.0926598048183483e-08,1197,0.0,0.0,-0.0702479338845523
2026-01-05 00:00:00,1.17246,1.17246,1.1710250000000002,1.171185,0.0,0.0,1.0682850959952836e-07,849,0.0,0.0,-0.3885017421604653
2026-01-05 01:00:00,1.171155,1.1713,1.17002,1.17052,0.0,0.0,6.3607260691776e-08,2147,0.0,0.0,-0.1093750000000271
2026-01-05 02:00:00,1.1705,1.17111,1.17035,1.1705,0.0,0.0,5.435930241738211e-08,2949,0.0,0.0,-0.30263157894726844
2026-01-05 03:00:00,1.1704949999999998,1.170735,1.169975,1.17003,0.0,0.0,5.52802164020371e-08,2806,0.0,0.0,-0.4276315789474876
2026-01-05 04:00:00,1.170035,1.17016,1.1683949999999999,1.16887,0.0,0.0,5.2539134985927975e-08,2941,0.0,0.0,-0.2308781869687473
2026-01-05 05:00:00,1.168865,1.169085,1.16722,1.16753,0.0,0.0,5.844634285362162e-08,2386,0.0,0.0,-0.3337801608578919
2026-01-05 06:00:00,1.1675149999999999,1.1683050000000001,1.16733,1.1682,0.0,0.0,5.2518391168466386e-08,1827,0.0,0.0,0.39230769230757495
2026-01-05 07:00:00,1.1681949999999999,1.168595,1.16805,1.1685349999999999,0.0,0.0,4.4750137238893395e-08,1297,0.0,0.0,0.3899082568806274
2026-01-05 08:00:00,1.16853,1.16919,1.16782,1.169105,0.0,0.0,4.6896468020084186e-08,1955,0.0,0.0,0.43795620437955496
2026-01-05 09:00:00,1.169085,1.169215,1.168355,1.168625,0.0,0.0,5.73375937097823e-08,2973,0.0,0.0,-0.18604651162786495
2026-01-05 10:00:00,1.16862,1.1694849999999999,1.168105,1.168335,0.0,0.0,5.8189785971396516e-08,3769,0.0,0.0,-0.3333333333332797
2026-01-05 11:00:00,1.168345,1.168755,1.16738,1.168245,0.0,0.0,5.623137952040228e-08,2943,0.0,0.0,0.12909090909087562
2026-01-05 12:00:00,1.16823,1.169015,1.16798,1.168995,0.0,0.0,5.66599789997731e-08,2679,0.0,0.0,0.48067632850250147
2026-01-05 13:00:00,1.1689850000000002,1.169095,1.168015,1.16815,0.0,0.0,5.837038200015538e-08,2680,0.0,0.0,-0.375
2026-01-05 14:00:00,1.168145,1.1685050000000001,1.166995,1.167065,0.0,0.0,5.718141313354708e-08,2784,0.0,0.0,-0.4536423841059544
2026-01-05 15:00:00,1.1670850000000002,1.167525,1.1659,1.1674449999999998,0.0,0.0,6.56054079327382e-08,4752,0.0,0.0,0.45076923076911285
2026-01-05 16:00:00,1.167455,1.16874,1.1673149999999999,1.168515,0.0,0.0,6.531212672879827e-08,4739,0.0,0.0,0.3421052631578742
2026-01-05 17:00:00,1.16862,1.170465,1.16853,1.170465,0.0,0.0,6.650093980323844e-08,5555,0.0,0.0,0.5
2026-01-05 18:00:00,1.170455,1.171865,1.1704050000000001,1.171485,0.0,0.0,6.171606002684586e-08,4078,0.0,0.0,0.2397260273973436
2026-01-05 19:00:00,1.17148,1.171975,1.17101,1.1714449999999998,0.0,0.0,5.6208814185849475e-08,3123,0.0,0.0,-0.04922279792767455
2026-01-05 20:00:00,1.17145,1.172545,1.171345,1.172515,0.0,0.0,4.9037143955002186e-08,2026,0.0,0.0,0.4750000000000185
2026-01-05 21:00:00,1.172525,1.172885,1.172215,1.172715,0.0,0.0,5.794462140765965e-08,2268,0.0,0.0,0.24626865671639317
2026-01-05 22:00:00,1.172705,1.172865,1.172385,1.17248,0.0,0.0,4.6413539563787125e-08,1226,0.0,0.0,-0.30208333333343934
2026-01-05 23:00:00,1.172485,1.17264,1.17195,1.1721499999999998,0.0,0.0,4.549108771174779e-08,913,0.0,-1.0378468806405372,-0.2101449275366866
2026-01-06 00:00:00,1.172155,1.17228,1.1718899999999999,1.1718950000000001,0.0,0.0,6.436576900597455e-08,375,0.0,1.2504943145411636,-0.48717948717912224
2026-01-06 01:00:00,1.1719,1.17217,1.171275,1.17146,0.0,0.0,5.189034458012558e-08,864,0.0,-0.6187064751270607,-0.29329608938557883
2026-01-06 02:00:00,1.17147,1.171705,1.17106,1.1716950000000002,0.0,0.0,4.1623269740468385e-08,1438,0.0,-1.963251713113747,0.4844961240312506
2026-01-06 03:00:00,1.171705,1.17254,1.17122,1.17254,0.0,0.0,4.4519737571558414e-08,2428,0.0,-1.4133488379434156,0.5000000000000842
2026-01-06 04:00:00,1.172555,1.173785,1.17222,1.173745,0.0,0.0,5.093044235948098e-08,1875,0.0,-0.5226617703296828,0.4744408945687361
2026-01-06 05:00:00,1.173715,1.173815,1.173245,1.17346,0.0,0.0,3.8791108039831606e-08,1653,0.0,-1.902772250000106,-0.12280701754389382
2026-01-06 06:00:00,1.1734550000000001,1.173565,1.17315,1.173365,0.0,0.0,4.0069503989742346e-08,1196,0.0,-1.5802845586350052,0.018072289157010063
2026-01-06 07:00:00,1.173355,1.173705,1.17272,1.17287,0.0,0.0,4.1429130531003275e-08,1506,0.0,-1.3746936217500814,-0.3477157360405153
2026-01-06 08:00:00,1.172875,1.173705,1.17287,1.17361,0.0,0.0,4.287632102221511e-08,1702,0.0,-1.1648393452860164,0.38622754491022104
2026-01-06 09:00:00,1.173625,1.174285,1.17259,1.172905,0.0,0.0,5.574109195248603e-08,2800,0.0,0.30767694112636484,-0.31415929203529447
2026-01-06 10:00:00,1.172895,1.17389,1.1725949999999998,1.17284,0.0,0.0,6.433864575447373e-08,3338,0.0,1.225799011951685,-0.3108108108106393
