time,open_eur,high_eur,low_eur,close_eur,buy_volume_eur,sell_volume_eur,avg_speed_eur,tick_count_eur,volume_delta_eur,rejection_speed_eur,micro_trend_eur,source_date_eur,symbol_eur,open_gold,high_gold,low_gold,close_gold,buy_volume_gold,sell_volume_gold,avg_speed_gold,tick_count_gold,volume_delta_gold,rejection_speed_gold,micro_trend_gold,source_date_gold,symbol_gold,tr_eur,tr_gold,atr_eur,atr_gold,alpha_divergence,alpha_rejection_z,alpha_rejection_z_gold,alpha_micro_trend,alpha_micro_trend_gold,alpha_regime,alpha_near_high,alpha_near_low,hour,alpha_is_fixing_hour,alpha_is_ny_session,alpha_mom_3h,alpha_mom_6h,alpha_mom_12h,target_long,target_short,target
2026-04-02 05:00:00,1.15525,1.156035,1.154395,1.15468,0.0,0.0,5.495334871006308e-08,6213,0.0,0.0,-0.3262195121952111,2026-04-02,EURUSD,4696.01,4704.31,4655.3150000000005,4686.77,0.0,0.0,0.0011406863469855,27944.0,0.0,0.0,0.14200428615166,2026-04-02,GOLD,0.0016399999999998638,48.99499999999989,,,0.0,0.0,0.0,-0.3262195121952111,0.14200428615166,normal,0.0,0.0,5,0,0,0.0,0.0,0.0,0,0,0
2026-04-02 06:00:00,1.154685,1.154895,1.15377,1.15398,0.0,0.0,4.4233491417717134e-08,3234,0.0,0.0,-0.3133333333333017,2026-04-02,EURUSD,4686.75,4699.425,4675.73,4676.205,0.0,0.0,0.0006270439555679,20259.0,0.0,0.0,-0.479953576703912,2026-04-02,GOLD,0.0011250000000000426,23.69500000000062,,,0.0016479891580168937,0.0,0.0,-0.3133333333333017,-0.479953576703912,normal,0.0,0.0,6,0,0,0.0,0.0,0.0,0,0,0
2026-04-02 07:00:00,1.153985,1.15419,1.153225,1.153695,0.0,0.0,4.5364180838647096e-08,2940,0.0,0.0,-0.012953367875616,2026-04-02,EURUSD,4676.225,4681.48,4657.33,4672.709999999999,0.0,0.0,0.0005901724992048,16572.0,0.0,0.0,0.1368530020703698,2026-04-02,GOLD,0.0009650000000001047,24.149999999999636,,,0.0005004295859752927,0.0,0.0,-0.012953367875616,0.1368530020703698,normal,0.0,0.0,7,0,0,0.0,0.0,0.0,0,0,0
2026-04-02 08:00:00,1.1537,1.1539,1.152485,1.152525,0.0,0.0,5.026523027177737e-08,3570,0.0,0.0,-0.471731448763143,2026-04-02,EURUSD,4672.719999999999,4680.7,4586.030000000001,4594.215,0.0,0.0,0.0010544159375608,24502.0,0.0,0.0,-0.4135417766980034,2026-04-02,GOLD,0.001414999999999944,94.66999999999916,,,0.015784470100630665,0.0,0.0,-0.471731448763143,-0.4135417766980034,normal,0.0,0.0,8,0,0,-0.0018663179409013075,0.0,0.0,0,0,0
2026-04-02 09:00:00,1.152535,1.153545,1.15152,1.15344,0.0,0.0,5.8964660644343306e-08,5568,0.0,0.0,0.4481481481481908,2026-04-02,EURUSD,4594.235000000001,4608.719999999999,4553.865,4599.355,0.0,0.0,0.0011234495914633,29552.0,0.0,0.0,0.3292771853067203,2026-04-02,GOLD,0.0020249999999999435,54.85499999999956,,,-0.00032488928900242797,0.0,0.0,0.4481481481481908,0.3292771853067203,normal,0.0,0.0,9,0,0,-0.00046794571829666953,0.0,0.0,0,0,0
2026-04-02 10:00:00,1.153435,1.153785,1.151875,1.153255,0.0,0.0,6.566487482714278e-08,5723,0.0,0.0,0.2225130890052891,2026-04-02,EURUSD,4598.82,4651.1900000000005,4597.32,4642.9,0.0,0.0,0.0006758937758371,23118.0,0.0,0.0,0.3461110079821654,2026-04-02,GOLD,0.0019100000000000783,53.8700000000008,,,-0.009628021665008979,0.0,0.0,0.2225130890052891,0.3461110079821654,normal,0.0,0.0,10,0,0,-0.0003813832945449569,0.0,0.0,0,0,0
2026-04-02 11:00:00,1.153245,1.153575,1.152435,1.15253,0.0,0.0,5.35912639139614e-08,4150,0.0,0.0,-0.4166666666666991,2026-04-02,EURUSD,4642.81,4649.005,4617.33,4620.92,0.0,0.0,0.0006452282083578,20545.0,0.0,0.0,-0.3866614048934308,2026-04-02,GOLD,0.0011399999999999189,31.675000000000182,,,0.004105454732218239,0.0,0.0,-0.4166666666666991,-0.3866614048934308,normal,0.0,0.0,11,0,0,4.338300687578567e-06,-0.0018619877368620807,0.0,0,0,0
2026-04-02 12:00:00,1.152535,1.15319,1.152165,1.15262,0.0,0.0,5.1086824891595976e-08,3146,0.0,0.0,-0.0560975609756615,2026-04-02,EURUSD,4620.9,4631.88,4613.31,4621.885,0.0,0.0,0.0006024923608072,17814.0,0.0,0.0,-0.0382337102853582,2026-04-02,GOLD,0.0010249999999998316,18.56999999999971,,,-0.00013074379950439585,0.0,0.0,-0.0560975609756615,-0.0382337102853582,normal,0.0,0.0,12,0,0,-0.0007109169094188239,-0.0011785299571916985,0.0,0,0,0
2026-04-02 13:00:00,1.152625,1.152685,1.15111,1.15122,0.0,0.0,5.193707242828618e-08,3723,0.0,0.0,-0.4301587301588313,2026-04-02,EURUSD,4621.975,4635.16,4604.255,4620.635,0.0,0.0,0.0006295715031407,17676.0,0.0,0.0,0.0300113250283057,2026-04-02,GOLD,0.001574999999999882,30.904999999999745,,,-0.000944171650216874,0.0,0.0,-0.4301587301588313,0.0300113250283057,normal,0.0,0.0,13,0,1,-0.0017645707150629741,-0.002145281031815216,0.0,0,0,0
2026-04-02 14:00:00,1.1512250000000002,1.15194,1.150915,1.151765,0.0,0.0,5.4222966344152336e-08,3528,0.0,0.0,0.3292682926830087,2026-04-02,EURUSD,4620.63,4630.7,4592.82,4600.19,0.0,0.0,0.0006744177020916,20436.0,0.0,0.0,-0.3054382259767842,2026-04-02,GOLD,0.0010250000000000536,37.88000000000011,,,0.004898127332587876,0.0,0.0,0.3292682926830087,-0.3054382259767842,normal,0.0,0.0,14,0,1,-0.0006637571256280506,-0.0006594217045183814,0.0,0,0,0
