time,open,high,low,close,buy_volume,sell_volume,avg_speed,tick_count,volume_delta,rejection_speed,micro_trend,source_date,symbol,vol_mean,vol_std,is_massive_vol,speed_mean,speed_std,speed_z,price_delta,directional_speed,absorption_ratio,absorption_z,whale_signal,ret_3h_pips,hit_3h,miss_3h,ret_6h_pips,hit_6h,miss_6h,ret_12h_pips,hit_12h,miss_12h,hit,miss
2026-04-02 05:00:00,4696.01,4704.31,4655.3150000000005,4686.77,0.0,0.0,0.0011406863469855,27944,0.0,0.0,0.14200428615166,2026-04-02,GOLD,,,False,,,,-9.239999999999782,,570.3439126441486,,0,-9255.50000000003,0,0,-6585.000000000036,0,0,-518.0000000000291,0,0,0,0
2026-04-02 06:00:00,4686.75,4699.425,4675.73,4676.205,0.0,0.0,0.0006270439555679,20259,0.0,0.0,-0.479953576703912,2026-04-02,GOLD,,,False,,,,-10.545000000000073,,854.9905043257849,,0,-7685.000000000036,0,0,-5431.999999999971,0,0,-1500.500000000011,0,0,0,0
2026-04-02 07:00:00,4676.225,4681.48,4657.33,4672.709999999999,0.0,0.0,0.0005901724992048,16572,0.0,0.0,0.1368530020703698,2026-04-02,GOLD,,,False,,,,-3.515000000001237,,686.2111801242339,,0,-2980.999999999949,0,0,-5207.499999999891,0,0,-1357.9999999999018,0,0,0,0
2026-04-02 08:00:00,4672.719999999999,4680.7,4586.030000000001,4594.215,0.0,0.0,0.0010544159375608,24502,0.0,0.0,-0.4135417766980034,2026-04-02,GOLD,,,False,,,,-78.5049999999992,,258.81483046371835,,0,2670.4999999999927,0,0,597.4999999999454,0,0,5449.499999999898,0,0,0,0
2026-04-02 09:00:00,4594.235000000001,4608.719999999999,4553.865,4599.355,0.0,0.0,0.0011234495914633,29552,0.0,0.0,0.3292771853067203,2026-04-02,GOLD,,,False,,,,5.119999999998981,,538.7293774496443,,0,2253.0000000000655,0,0,263.0000000000109,0,0,6929.000000000087,0,0,0,0
2026-04-02 10:00:00,4598.82,4651.1900000000005,4597.32,4642.9,0.0,0.0,0.0006758937758371,23118,0.0,0.0,0.3461110079821654,2026-04-02,GOLD,,,False,,,,44.07999999999993,,429.1442361239958,,0,-2226.499999999942,0,0,333.5000000000946,0,0,2929.5000000000073,0,0,0,0
2026-04-02 11:00:00,4642.81,4649.005,4617.33,4620.92,0.0,0.0,0.0006452282083578,20545,0.0,0.0,-0.3866614048934308,2026-04-02,GOLD,,,False,,,,-21.890000000000327,,648.618784530383,,0,-2073.0000000000473,0,0,6067.000000000007,0,0,5528.999999999905,0,0,0,0
2026-04-02 12:00:00,4620.9,4631.88,4613.31,4621.885,0.0,0.0,0.0006024923608072,17814,0.0,0.0,-0.0382337102853582,2026-04-02,GOLD,,,False,,,,0.9850000000005821,,959.2891760904836,,0,-1990.0000000000546,0,0,3931.49999999996,0,0,2393.99999999996,0,0,0,0
2026-04-02 13:00:00,4621.975,4635.16,4604.255,4620.635,0.0,0.0,0.0006295715031407,17676,0.0,0.0,0.0300113250283057,2026-04-02,GOLD,,,False,,,,-1.3400000000001455,,571.9462870085794,,0,2560.0000000000364,0,0,3849.499999999989,0,0,2518.99999999996,0,0,0,0
2026-04-02 14:00:00,4620.63,4630.7,4592.82,4600.19,0.0,0.0,0.0006744177020916,20436,0.0,0.0,-0.3054382259767842,2026-04-02,GOLD,,,False,,,,-20.44000000000051,,539.4931362196394,,0,8140.000000000055,0,0,4851.999999999953,0,0,4563.500000000022,0,0,0,0
2026-04-02 15:00:00,4600.455,4630.335,4594.595,4601.985,0.0,0.0,0.0007537726154375,23539,0.0,0.0,-0.2932288752098639,2026-04-02,GOLD,,,False,,,,1.5299999999997453,,658.617795187469,,0,5921.500000000015,0,0,6666.000000000076,0,0,4384.000000000015,0,0,0,0
2026-04-02 16:00:00,4602.035,4651.505,4580.945,4646.235000000001,0.0,0.0,0.0011979144614378,32899,0.0,0.0,0.4253117913832206,2026-04-02,GOLD,,,False,,,,44.20000000000073,,466.25566893423775,,0,1289.4999999999527,0,0,2595.9999999999127,0,0,-3565.9999999999854,0,0,0,0
2026-04-02 17:00:00,4646.485000000001,4699.5,4631.805,4681.59,0.0,0.0,0.0012981933482459,34240,0.0,0.0,0.2354309771770451,2026-04-02,GOLD,,,False,,,,35.10499999999956,,505.79806484969566,,0,-3288.000000000102,0,0,-538.0000000001019,0,0,-7101.499999999942,0,0,0,0
2026-04-02 18:00:00,4681.9,4684.075,4652.675,4661.2,0.0,0.0,0.0008896281569493,32196,0.0,0.0,-0.2285031847133842,2026-04-02,GOLD,,,False,,,,-20.699999999999818,,1025.3503184713495,,0,744.5000000000618,0,0,-1537.5,0,0,-5062.499999999909,0,0,0,0
2026-04-02 19:00:00,4661.21,4670.62,4643.035,4659.13,0.0,0.0,0.0007050215023035,26853,0.0,0.0,0.0834692767808841,2026-04-02,GOLD,,,False,,,,-2.0799999999999272,,973.4638390429568,,0,1306.49999999996,0,0,-1330.500000000029,0,0,-4855.499999999938,0,0,0,0
2026-04-02 20:00:00,4659.185,4668.385,4645.895,4648.709999999999,0.0,0.0,0.0006310493068276,21991,0.0,0.0,-0.3748332592263798,2026-04-02,GOLD,,,False,,,,-10.475000000001273,,977.8123610493648,,0,2750.0,0,0,-288.4999999999309,0,0,-2624.499999999898,0,0,0,0
2026-04-02 21:00:00,4648.975,4672.105,4647.54,4668.645,0.0,0.0,0.000557591198055,15740,0.0,0.0,0.3591491960105989,2026-04-02,GOLD,,,False,,,,19.670000000000073,,640.7490331772952,,0,-2282.000000000062,0,0,-2282.000000000062,0,0,-4618.000000000029,0,0,0,0
2026-04-02 22:00:00,4668.639999999999,4681.86,4661.515,4672.195,0.0,0.0,0.0005346007311712,19647,0.0,0.0,0.0249447038584283,2026-04-02,GOLD,,,False,,,,3.555000000000291,,965.6918161710805,,0,-2636.999999999989,0,0,-6161.999999999898,0,0,-4972.999999999956,0,0,0,0
2026-04-02 23:00:00,4672.43,4677.995,4664.375,4676.209999999999,0.0,0.0,0.0004983397721312,8551,0.0,0.0,0.3689427312775092,2026-04-02,GOLD,,,False,,,,3.779999999998836,,627.8267254038229,,0,-3038.499999999931,0,0,-6563.49999999984,0,0,-5374.499999999898,0,0,0,0
2026-04-06 01:00:00,4649.785,4666.135,4608.655000000001,4645.825,0.0,0.0,0.0014433332170917,18578,0.0,0.0,0.1466597077244162,2026-04-02,GOLD,,,False,,,,-3.9600000000000364,,323.20807237300176,,0,0.0,0,0,-3524.999999999909,0,0,-1982.9999999999927,0,0,0,0
2026-04-06 01:00:00,4649.785,4666.135,4608.655000000001,4645.825,0.0,0.0,0.0014434109063144,18578,0.0,0.0,0.1466597077244162,2026-04-04,GOLD,,,False,,,,-3.9600000000000364,,323.20807237300176,,0,-3524.999999999909,0,0,-3524.999999999909,0,0,-1982.9999999999927,0,0,0,0
2026-04-06 01:00:00,4649.785,4666.135,4608.655000000001,4645.825,0.0,0.0,0.0014434109063144,18578,0.0,0.0,0.1466597077244162,2026-04-05,GOLD,,,False,,,,-3.9600000000000364,,323.20807237300176,,0,-3524.999999999909,0,0,-2335.9999999999673,0,0,-1982.9999999999927,0,0,0,0
2026-04-06 01:00:00,4649.785,4666.135,4608.655000000001,4645.825,0.0,0.0,0.0014434109063144,18578,0.0,0.0,0.1466597077244162,2026-04-03,GOLD,,,False,,,,-3.9600000000000364,,323.20807237300176,,0,-3524.999999999909,0,0,-2335.9999999999673,0,0,-1982.9999999999927,0,0,0,0
2026-04-06 02:00:00,4645.845,4651.465,4605.34,4610.575000000001,0.0,0.0,0.0007204131338824,15681,0.0,0.0,-0.3865040650406378,2026-04-04,GOLD,21836.125,6197.3365268616735,False,0.0008884775851455417,0.00033823517179895694,-0.4968863834274373,-35.26999999999953,0.4968863834274373,339.9674796747967,-1.0913887558846023,0,0.0,0,0,1188.9999999999418,0,0,3753.4999999999854,0,0,0,0
2026-04-06 02:00:00,4645.845,4651.465,4605.34,4610.575000000001,0.0,0.0,0.0007204131338824,15681,0.0,0.0,-0.3865040650406378,2026-04-02,GOLD,21325.166666666668,6177.357269948024,False,0.0008709662012662458,0.00033547802091057227,-0.44877177639001997,-35.26999999999953,0.44877177639001997,339.9674796747967,-1.0269468948597669,0,1188.9999999999418,0,0,1188.9999999999418,0,0,3753.4999999999854,0,0,0,0
2026-04-06 02:00:00,4645.845,4651.465,4605.34,4610.575000000001,0.0,0.0,0.0007204131338824,15681,0.0,0.0,-0.3865040650406378,2026-04-03,GOLD,21134.416666666668,6281.51441804108,False,0.0008748565836960167,0.0003330590416496277,-0.4637119264160032,-35.26999999999953,0.4637119264160032,339.9674796747967,-0.9450431755758542,0,1188.9999999999418,0,0,1541.9999999999163,0,0,3753.4999999999854,0,0,0,0
2026-04-06 02:00:00,4645.845,4651.465,4605.34,4610.575000000001,0.0,0.0,0.0007204131338824,15681,0.0,0.0,-0.3865040650406378,2026-04-05,GOLD,21097.291666666668,6312.209586805053,False,0.0008802832768075833,0.00032925822134516325,-0.4855463966003465,-35.26999999999953,0.4855463966003465,339.9674796747967,-0.8753818523402314,0,1188.9999999999418,0,0,1541.9999999999163,0,0,3753.4999999999854,0,0,0,0
