time,open,high,low,close,buy_volume,sell_volume,avg_speed,tick_count,volume_delta,rejection_speed,micro_trend,source_date,symbol
2026-04-02 05:00:00,4696.01,4704.3099999999995,4655.3150000000005,4686.77,0.0,0.0,0.0011406863469855958,27944,0.0,0.0,0.14200428615166,2026-04-02,GOLD
2026-04-02 06:00:00,4686.75,4699.425,4675.73,4676.205,0.0,0.0,0.0006270439555679373,20259,0.0,0.0,-0.479953576703912,2026-04-02,GOLD
2026-04-02 07:00:00,4676.225,4681.48,4657.33,4672.709999999999,0.0,0.0,0.0005901724992048706,16572,0.0,0.0,0.13685300207036982,2026-04-02,GOLD
2026-04-02 08:00:00,4672.719999999999,4680.7,4586.030000000001,4594.215,0.0,0.0,0.0010544159375608319,24502,0.0,0.0,-0.4135417766980034,2026-04-02,GOLD
2026-04-02 09:00:00,4594.235000000001,4608.719999999999,4553.865,4599.355,0.0,0.0,0.001123449591463382,29552,0.0,0.0,0.32927718530672034,2026-04-02,GOLD
2026-04-02 10:00:00,4598.82,4651.1900000000005,4597.32,4642.9,0.0,0.0,0.0006758937758371526,23118,0.0,0.0,0.3461110079821654,2026-04-02,GOLD
2026-04-02 11:00:00,4642.8099999999995,4649.005,4617.33,4620.92,0.0,0.0,0.0006452282083578809,20545,0.0,0.0,-0.3866614048934308,2026-04-02,GOLD
2026-04-02 12:00:00,4620.9,4631.88,4613.3099999999995,4621.885,0.0,0.0,0.0006024923608072292,17814,0.0,0.0,-0.038233710285358276,2026-04-02,GOLD
2026-04-02 13:00:00,4621.975,4635.16,4604.255,4620.635,0.0,0.0,0.0006295715031407839,17676,0.0,0.0,0.030011325028305755,2026-04-02,GOLD
2026-04-02 14:00:00,4620.63,4630.7,4592.82,4600.19,0.0,0.0,0.0006744177020916686,20436,0.0,0.0,-0.3054382259767842,2026-04-02,GOLD
2026-04-02 15:00:00,4600.455,4630.335,4594.595,4601.985,0.0,0.0,0.000753772615437532,23539,0.0,0.0,-0.29322887520986396,2026-04-02,GOLD
2026-04-02 16:00:00,4602.035,4651.505,4580.945,4646.235000000001,0.0,0.0,0.001197914461437854,32899,0.0,0.0,0.4253117913832206,2026-04-02,GOLD
2026-04-02 17:00:00,4646.485000000001,4699.5,4631.805,4681.59,0.0,0.0,0.0012981933482459345,34240,0.0,0.0,0.23543097717704511,2026-04-02,GOLD
2026-04-02 18:00:00,4681.9,4684.075,4652.675,4661.2,0.0,0.0,0.0008896281569493914,32196,0.0,0.0,-0.22850318471338424,2026-04-02,GOLD
2026-04-02 19:00:00,4661.21,4670.62,4643.035,4659.13,0.0,0.0,0.0007050215023035224,26853,0.0,0.0,0.08346927678088412,2026-04-02,GOLD
2026-04-02 20:00:00,4659.1849999999995,4668.385,4645.895,4648.709999999999,0.0,0.0,0.0006310493068276016,21991,0.0,0.0,-0.37483325922637983,2026-04-02,GOLD
