time,speed_eur,speed_gold,micro_trend_eur,micro_trend_gold,tick_activity_eur,tick_activity_gold,avg_speed_eur,avg_speed_gold,range_eur,range_gold,body_ratio_eur,body_ratio_gold,speed_divergence,trend_divergence,cluster,pca_x,pca_y
2026-01-08 01:00:00,-1.564305967707095,0.0,0.1315789473689541,0.4061637534497451,0.22491587364764626,0.34173704000493127,2.8547321291317984e-08,0.0003003110148398,0.0002440737188271536,0.0012176433951528159,0.24561394890657992,0.698252069904318,-1.564305967707095,-0.274584806080791,2,-3.3885490372154305,-0.40522501184200255
2026-01-08 02:00:00,-0.9631130143831284,0.0,-0.5000000000004934,-0.3223869154101722,0.5297529538131042,0.817189559715265,3.5981706788285094e-08,0.0003544407391233,0.0001927054561337459,0.0043962636814466214,0.4666664592586277,0.6705852287213443,-0.9631130143831284,-0.17761308459032116,1,-1.8730219413101254,-1.9681464758725762
2026-01-08 03:00:00,-1.0949000413335233,0.0,-0.1407766990289587,-0.1381596752367919,0.7471808061006097,1.3242893260159092,3.3317434064448136e-08,0.0004000863049506,0.00044112104704152806,0.004153005955826485,0.19417471957768667,0.0971583220563097,-1.0949000413335233,-0.0026170237921668005,2,-1.1509291965985016,-0.6674033934741437
2026-01-08 04:00:00,-0.9402112939106536,0.0,0.444444444444353,-0.0197808886183142,0.7964485845280548,1.3921484182593244,3.481823311647111e-08,0.0003832119329974,0.000693475338818333,0.0036994589288006792,0.6666665843621501,0.44826536822610014,-0.9402112939106536,0.46422533306266717,2,-0.9970138236028885,0.6805128883226367
2026-01-08 05:00:00,-1.0374133735692623,0.0,-0.1923076923078674,-0.1677704194260893,0.5964179760465883,1.16763885628191,3.288626997522081e-08,0.0003452164934345,0.0003339012508453613,0.002040345237224005,0.02564101906658055,0.08554083885130981,-1.0374133735692623,-0.024537272881778094,2,-1.9891620186401127,-0.08452822519395063
2026-01-08 06:00:00,-0.7963387025704208,0.0,0.2575757575754721,-0.3663438256657703,0.4177718832891247,0.7904785312004853,3.561216263291604e-08,0.0002812733506288,0.00028252457107628287,0.0023298109750455958,0.106060573921079,0.8450363196043684,-0.7963387025704208,0.6239195832412423,2,-2.490052454725475,1.5175881532817364
2026-01-08 07:00:00,-0.6204983071136314,0.0,0.4259259259258497,0.0928592859285683,0.7194822913401795,1.3066232794313344,3.816836403279776e-08,0.0004529989407177,0.00046222983094370635,0.0037655740890543865,0.39814807441717553,0.3636363636341866,-0.6204983071136314,0.3330666399972814,2,-0.5452398365285464,0.6356535287730413
2026-01-08 08:00:00,-0.228002301896045,0.0,0.3414634146341991,0.2879479570873798,0.9345998471448849,1.3936167528699384,4.3913404473818975e-08,0.0004153254778468,0.0007019466178157843,0.00494105360270585,0.07317072278399214,0.34969185117393176,-0.228002301896045,0.0535154575468193,2,0.5778990721215989,0.3122306884598616
2026-01-08 09:00:00,0.5329674143665132,0.0,-0.3771929824559114,-0.2703306523682223,1.076655614302357,0.8472238886747321,5.479797748057128e-08,0.0003780857381974,0.0004881014565974699,0.002525309514030365,0.6315788365650138,0.1988382484343502,0.5329674143665132,-0.10686233008768908,1,-0.18368977199348602,-0.4234863101988808
2026-01-08 10:00:00,0.2945866866693335,0.0,-0.2549999999999223,0.3659985152191121,1.2422860016523583,0.9344844892021817,5.106005799230995e-08,0.000343042483307,0.0008567915725979975,0.0030394965312054625,0.6649999334999955,0.04083147735686971,0.2945866866693335,-0.6209985152190344,1,0.31927076914565833,-1.2193669255923867
