,timestamp,cluster,personality,mode,sniper_direction,sniper_confidence,approved,forward_return,trade_win,reasons
0,2026-01-08 01:00:00,2,🌀 BARRIDO DE LIQUIDEZ,HIBERNATION,buy,0.7075980356482813,False,0.00029973965469975994,True,Régimen 🌀 BARRIDO DE LIQUIDEZ: Modo HIBERNACIÓN activado
1,2026-01-08 02:00:00,1,📉 TENDENCIA BAJISTA,RUNNER,sell,0.7926226028766257,True,0.00036399919491936217,False,
2,2026-01-08 03:00:00,2,🌀 BARRIDO DE LIQUIDEZ,HIBERNATION,sell,0.6413101053535808,False,0.0004796656045498171,False,Régimen 🌀 BARRIDO DE LIQUIDEZ: Modo HIBERNACIÓN activado
3,2026-01-08 04:00:00,2,🌀 BARRIDO DE LIQUIDEZ,HIBERNATION,buy,0.7880422587821307,False,0.00018835132659278386,True,Régimen 🌀 BARRIDO DE LIQUIDEZ: Modo HIBERNACIÓN activado
4,2026-01-08 05:00:00,2,🌀 BARRIDO DE LIQUIDEZ,HIBERNATION,sell,0.7844057516374546,False,0.0001455466990865073,False,Régimen 🌀 BARRIDO DE LIQUIDEZ: Modo HIBERNACIÓN activado
5,2026-01-08 06:00:00,2,🌀 BARRIDO DE LIQUIDEZ,HIBERNATION,buy,0.7592677405140842,False,-0.00021403376596684787,False,Régimen 🌀 BARRIDO DE LIQUIDEZ: Modo HIBERNACIÓN activado
6,2026-01-08 07:00:00,2,🌀 BARRIDO DE LIQUIDEZ,HIBERNATION,buy,0.7240996614227263,False,-0.0009458591910976866,False,Régimen 🌀 BARRIDO DE LIQUIDEZ: Modo HIBERNACIÓN activado
7,2026-01-08 08:00:00,2,🌀 BARRIDO DE LIQUIDEZ,HIBERNATION,buy,0.6456004603792089,False,-0.00042801623037536096,False,Régimen 🌀 BARRIDO DE LIQUIDEZ: Modo HIBERNACIÓN activado
8,2026-01-08 09:00:00,1,📉 TENDENCIA BAJISTA,RUNNER,sell,0.7065934828733026,True,0.0001712636689814584,False,
9,2026-01-08 10:00:00,1,📉 TENDENCIA BAJISTA,RUNNER,sell,0.6589173373338667,False,0.0005269268171477215,False,Confianza del Sniper (0.66) por debajo del mínimo requerido (0.7)
